iter	Passed	Remaining
316	496	1068
317	497	1066
318	498	1064
319	501	1065
320	502	1063
321	505	1063
322	506	1061
323	508	1060
324	509	1058
325	511	1057
326	512	1055
327	514	1054
328	517	1054
329	519	1054
330	521	1053
331	522	1051
332	524	1049
333	525	1048
334	527	1046
335	529	1045
336	532	1046
337	533	1045
338	535	1044
339	537	1042
340	538	1040
341	539	1038
342	540	1036
343	542	1034
344	544	1034
345	546	1033
346	548	1031
347	549	1030
348	551	1028
349	552	1026
350	554	1024
351	555	1022
352	556	1020
353	558	1019
354	560	1018
355	562	1017
356	564	1016
357	565	1014
358	567	1012
359	568	1010
360	569	1008
361	571	1007
362	573	1006
363	575	1005
364	577	1005
365	579	1003
366	581	1002
367	582	1000
368	584	998
369	585	997
370	588	997
371	590	996
372	592	995
373	594	994
374	595	992
375	596	990
376	597	988
377	599	986
378	601	984
379	603	984
380	606	984
381	608	984
382	609	982
383	611	980
384	612	977
385	613	976
386	615	974
387	617	973
388	618	972
389	620	971
390	622	969
391	624	967
392	625	965
393	626	963
394	628	962
395	629	960
396	630	958
397	632	957
398	634	956
399	636	954
400	637	952
401	638	950
402	639	948
403	641	945
404	642	943
405	643	941
406	645	939
407	646	938
408	648	937
409	650	935
410	651	934
411	653	932
412	654	930
413	655	928
414	656	925
415	658	924
416	659	922
417	661	920
418	663	920
419	665	919
420	667	918
421	669	916
422	670	914
423	671	912
424	672	910
425	674	908
426	675	906
427	677	905
428	679	904
429	681	903
430	682	901
431	683	899
432	685	897
433	686	894
434	687	893
435	689	891
436	691	890
437	692	888
438	694	887
439	696	886
440	697	884
441	699	882
442	700	881
443	702	879
444	703	877
445	706	877
446	707	875
447	726	894
448	727	892
449	728	890
450	730	888
451	731	886
452	733	885
453	735	884
454	737	883
455	739	881
456	742	881
457	743	880
458	745	878
459	746	876
460	747	874
461	749	872
462	752	872
463	754	871
464	756	870
465	758	868
466	759	867
467	761	865
468	762	863
469	764	861
470	766	860
471	768	859
472	770	858
473	772	857
474	773	855
475	775	853
476	776	851
477	777	849
478	779	847
479	781	846
480	782	844
481	785	843
482	787	842
483	788	840
484	789	838
485	790	836
486	792	834
487	793	832
488	796	832
489	798	831
490	800	829
491	801	827
492	803	825
493	804	823
494	805	821
495	807	820
496	808	818
497	811	817
498	813	816
499	814	814
500	815	812
501	817	810
502	818	808
503	819	806
504	820	804
505	821	802
506	824	801
507	826	800
508	829	799
509	831	798
510	832	796
511	834	794
512	835	793
513	836	791
514	838	790
515	841	789
516	843	787
517	845	786
518	846	784
519	847	782
520	849	780
521	850	779
522	852	777
523	854	776
524	857	775
525	859	774
526	860	772
527	862	770
528	863	768
529	864	766
530	866	765
531	867	763
532	870	762
533	872	761
534	873	759
535	875	757
536	876	755
537	877	753
538	879	751
539	880	750
540	882	748
541	884	747
542	892	751
543	893	749
544	895	747
545	897	746
546	899	744
547	901	743
548	902	741
549	904	740
550	906	738
551	907	736
552	909	734
553	910	732
554	912	731
555	914	730
556	916	728
557	918	727
558	920	725
559	921	724
560	922	722
561	924	720
562	925	718
563	927	716
564	929	715
565	930	713
566	932	712
567	933	710
568	935	708
569	936	706
570	937	704
571	939	702
572	940	701
573	941	699
574	944	697
575	946	697
576	949	696
577	950	694
578	952	692
579	953	690
580	954	688
581	956	686
582	958	685
583	978	696
584	979	694
585	980	692
586	981	690
587	983	688
588	984	687
589	985	685
590	986	682
591	988	680
592	990	679
593	991	678
594	993	676
595	995	674
596	997	673
597	998	671
598	999	669
599	1001	667
600	1003	666
601	1005	664
602	1007	663
603	1009	661
604	1010	659
605	1012	657
606	1013	656
607	1014	654
608	1016	652
609	1017	650
610	1020	649
611	1022	648
612	1023	646
613	1025	644
614	1026	642
615	1027	640
616	1028	638
617	1029	636
618	1031	634
619	1032	632
620	1034	631
621	1035	629
622	1037	627
623	1039	626
624	1040	624
625	1041	622
626	1042	620
627	1044	618
628	1045	616
629	1047	614
630	1049	613
631	1051	612
632	1052	610
633	1054	608
634	1055	606
635	1056	604
636	1058	602
637	1059	601
638	1060	599
639	1063	598
640	1066	597
641	1069	596
642	1070	594
643	1071	592
644	1073	590
645	1074	588
646	1076	587
647	1078	586
648	1080	584
649	1082	582
650	1083	580
651	1084	578
652	1086	577
653	1087	575
654	1088	573
655	1090	571
656	1091	569
657	1093	568
658	1095	566
659	1096	564
660	1097	563
661	1099	561
662	1100	559
663	1101	557
664	1103	555
665	1104	553
666	1105	552
667	1107	550
668	1108	548
669	1110	546
670	1112	545
671	1113	543
672	1114	541
673	1115	539
674	1117	538
675	1119	536
676	1121	534
677	1122	533
678	1125	531
679	1126	530
680	1127	528
681	1129	526
682	1131	524
683	1132	523
684	1133	521
685	1135	519
686	1136	517
687	1138	516
688	1139	514
689	1141	512
690	1142	510
691	1143	509
692	1144	507
693	1146	505
694	1147	503
695	1148	501
696	1149	499
697	1151	498
698	1153	496
699	1154	494
700	1156	493
701	1157	491
702	1158	489
703	1160	487
704	1161	486
705	1163	484
706	1164	482
707	1167	481
708	1168	479
709	1170	477
710	1171	476
711	1172	474
712	1173	472
713	1175	470
714	1176	468
715	1177	467
716	1178	465
717	1179	463
718	1181	461
719	1183	460
720	1184	458
721	1186	456
722	1187	454
723	1189	453
724	1190	451
725	1191	449
726	1193	448
727	1194	446
728	1196	444
729	1198	443
730	1199	441
731	1200	439
732	1201	437
733	1202	435
734	1204	434
735	1205	432
736	1206	430
737	1208	428
738	1210	427
739	1211	425
740	1212	423
741	1214	422
742	1215	420
743	1216	418
744	1217	416
745	1218	415
746	1220	413
747	1221	411
748	1222	409
749	1223	407
750	1224	406
751	1226	404
752	1227	402
753	1228	400
754	1229	399
755	1231	397
756	1232	395
757	1233	393
758	1234	391
759	1235	390
760	1236	388
761	1238	386
762	1240	385
763	1241	383
764	1242	381
765	1243	380
766	1245	378
767	1246	376
768	1247	374
769	1248	372
770	1249	371
771	1250	369
772	1252	367
773	1254	366
774	1255	364
775	1257	362
776	1258	361
777	1260	359
778	1262	358
779	1263	356
780	1264	354
781	1266	353
782	1269	351
783	1271	350
784	1272	348
785	1273	346
786	1274	345
787	1276	343
788	1277	341
789	1278	339
790	1280	338
791	1281	336
792	1282	334
793	1284	333
794	1286	331
795	1287	329
796	1288	328
797	1289	326
798	1291	324
799	1292	323
800	1293	321
801	1294	319
802	1295	317
803	1297	316
804	1299	314
805	1300	313
806	1302	311
807	1303	309
808	1304	308
809	1305	306
810	1307	304
811	1308	302
812	1309	301
813	1311	299
814	1312	297
815	1314	296
816	1315	294
817	1316	292
818	1318	291
819	1319	289
820	1320	287
821	1321	286
822	1322	284
823	1323	282
824	1325	281
825	1326	279
826	1327	277
827	1329	276
828	1330	274
829	1332	272
830	1333	271
831	1334	269
832	1335	267
833	1337	266
834	1339	264
835	1340	263
836	1342	261
837	1343	259
838	1345	258
839	1346	256
840	1347	254
841	1349	253
842	1350	251
843	1351	249
844	1352	248
845	1353	246
846	1354	244
847	1355	243
848	1356	241
849	1358	239
850	1359	238
851	1361	236
852	1362	234
853	1363	233
854	1364	231
855	1366	229
856	1367	228
857	1368	226
858	1369	224
859	1370	223
860	1371	221
861	1373	219
862	1375	218
863	1376	216
864	1377	214
865	1378	213
866	1379	211
867	1380	210
868	1382	208
869	1383	206
870	1384	205
871	1385	203
872	1386	201
873	1388	200
874	1389	198
875	1391	196
876	1392	195
877	1393	193
878	1395	192
879	1396	190
880	1397	188
881	1399	187
882	1400	185
883	1401	183
884	1403	182
885	1404	180
886	1405	179
887	1406	177
888	1408	175
889	1409	174
890	1410	172
891	1411	170
892	1412	169
893	1413	167
894	1414	166
895	1416	164
896	1418	162
897	1419	161
898	1420	159
899	1422	158
900	1423	156
901	1424	154
902	1426	153
903	1427	151
904	1428	149
905	1429	148
906	1430	146
907	1432	145
908	1433	143
909	1434	141
910	1436	140
911	1437	138
912	1438	137
913	1439	135
914	1440	133
915	1441	132
916	1442	130
917	1443	128
918	1444	127
919	1446	125
920	1448	124
921	1449	122
922	1450	121
923	1451	119
924	1453	117
925	1454	116
926	1455	114
927	1456	113
928	1458	111
929	1459	109
930	1460	108
931	1462	106
932	1463	105
933	1465	103
934	1466	101
935	1467	100
936	1468	98
937	1470	97
938	1471	95
939	1472	94
940	1473	92
941	1474	90
942	1476	89
943	1478	87
944	1479	86
945	1480	84
946	1481	82
947	1482	81
948	1484	79
949	1485	78
950	1486	76
951	1488	75
952	1489	73
953	1491	71
954	1493	70
955	1494	68
956	1495	67
957	1497	65
958	1498	64
959	1499	62
960	1500	60
961	1501	59
962	1502	57
963	1504	56
964	1505	54
965	1507	53
966	1508	51
967	1510	49
968	1511	48
969	1513	46
970	1514	45
971	1516	43
972	1517	42
973	1518	40
974	1520	38
975	1522	37
976	1523	35
977	1524	34
978	1526	32
979	1527	31
980	1529	29
981	1530	28
982	1531	26
983	1532	24
984	1534	23
985	1535	21
986	1537	20
987	1538	18
988	1539	17
989	1540	15
990	1542	14
991	1543	12
992	1544	10
993	1545	9
994	1547	7
995	1548	6
996	1550	4
997	1551	3
998	1552	1
999	1554	0
